PlantType,Parameter,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Solar PV,CAPEX(2012$/MW),1100533.13,1046698.12,992863.11,939028.10,885193.09,831358.08,804059.76,776761.43,749463.11,722164.78,694866.46,680103.77,665341.09,650578.41,635815.73,621053.04,606290.36,591527.68,576764.99,562002.31,547239.63,534505.18,521770.73,509036.28,496301.83,483567.37,470832.92,458098.47,445364.02,432629.57,419895.12
Solar PV,FOM(2012$/MW/yr),11640.05,10670.05,9700.04,9700.04,8730.04,7760.03,7760.03,7760.03,7760.03,7760.03,7760.03,7760.03,7760.03,7760.03,7760.03,7760.03,7760.03,7760.03,7760.03,7760.03,7760.03,7760.03,7760.03,7760.03,7760.03,7760.03,7760.03,7760.03,7760.03,7760.03,7760.03
Solar PV,VOM(2012$/MWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wind,CAPEX(2012$/MW),1467884.52,1420469.15,1379124.85,1343400.05,1312856.66,1287070.66,1277536.30,1271984.94,1268774.15,1267602.82,1268190.62,1265111.79,1263339.02,1262650.54,1262849.94,1263766.50,1265255.65,1267199.26,1269506.05,1272112.01,1274980.71,1276178.39,1277657.53,1279465.78,1281679.82,1284405.27,1285220.65,1286847.19,1289479.45,1292446.38,1295413.30
Wind,FOM(2012$/MW/yr),48500.21,48500.21,48500.21,48500.21,48500.21,48500.21,48500.21,47530.21,47530.21,47530.21,47530.21,47530.21,47530.21,47530.21,46560.20,46560.20,46560.20,46560.20,46560.20,46560.20,46560.20,45590.20,45590.20,45590.20,45590.20,45590.20,45590.20,45590.20,44620.19,44620.19,44620.19
Wind,VOM(2012$/MWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal Steam,Heat Rate (Btu/kWh),8497.237009,8487.536967,8487.536967,8477.836924,8477.836924,8477.836924,8477.836924,8477.836924,8477.836924,8477.836924,8477.836924,8477.836924,8477.836924,8477.836924,8477.836924,8477.836924,8477.836924,8477.836924,8477.836924,8477.836924,8477.836924,8477.836924,8477.836924,8477.836924,8477.836924,8477.836924,8477.836924,8477.836924,8477.836924,8477.836924,8477.836924
Coal Steam,CAPEX(2012$/MW),3921727.081,3912027.038,3902326.996,3892626.954,3881956.907,3872256.865,3862556.823,3852856.781,3843156.738,3832486.692,3822786.65,3813086.608,3803386.565,3793686.523,3783016.477,3773316.434,3763616.392,3753916.35,3743246.303,3733546.261,3723846.219,3714146.177,3704446.134,3693776.088,3684076.046,3674376.003,3664675.961,3654975.919,3644305.872,3634605.83,3624905.788
Coal Steam,FOM(2012$/MW/yr),31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519
Coal Steam,VOM(2012$/MWh),4.850021124,4.850021124,4.850021124,4.850021124,4.850021124,4.850021124,4.850021124,4.850021124,4.850021124,4.850021124,4.850021124,4.850021124,4.850021124,4.850021124,4.850021124,4.850021124,4.850021124,4.850021124,4.850021124,4.850021124,4.850021124,4.850021124,4.850021124,4.850021124,4.850021124,4.850021124,4.850021124,4.850021124,4.850021124,4.850021124,4.850021124
Coal Steam CCS,Heat Rate (Btu/kWh),8681.537812,8526.337136,8371.13646,8215.935784,8060.735108,8060.735108,8060.735108,8060.735108,8060.735108,8060.735108,8060.735108,8060.735108,8060.735108,8060.735108,8060.735108,8060.735108,8060.735108,8060.735108,8060.735108,8060.735108,8060.735108,8060.735108,8060.735108,8060.735108,8060.735108,8060.735108,8060.735108,8060.735108,8060.735108,8060.735108,8060.735108
Coal Steam CCS,CAPEX(2012$/MW),7042230.672,7000520.49,6964630.334,6928740.177,6885089.987,6848229.827,6803609.632,6748319.392,6711459.231,6665869.033,6616398.817,6571778.623,6533948.458,6487388.255,6446648.078,6406877.905,6369047.74,6324427.545,6287567.385,6245857.203,6207057.034,6166316.857,6125576.679,6084836.502,6043126.32,6002386.143,5961645.965,5920905.788,5880165.61,5839425.433,5797715.251
Coal Steam CCS,FOM(2012$/MW/yr),71780.31263,71780.31263,71780.31263,71780.31263,71780.31263,71780.31263,71780.31263,71780.31263,71780.31263,71780.31263,71780.31263,71780.31263,71780.31263,71780.31263,71780.31263,71780.31263,71780.31263,71780.31263,71780.31263,71780.31263,71780.31263,71780.31263,71780.31263,71780.31263,71780.31263,71780.31263,71780.31263,71780.31263,71780.31263,71780.31263,71780.31263
Coal Steam CCS,VOM(2012$/MWh),8.730038023,8.730038023,8.730038023,8.730038023,8.730038023,8.730038023,8.730038023,8.730038023,8.730038023,8.730038023,8.730038023,8.730038023,8.730038023,8.730038023,8.730038023,8.730038023,8.730038023,8.730038023,8.730038023,8.730038023,8.730038023,8.730038023,8.730038023,8.730038023,8.730038023,8.730038023,8.730038023,8.730038023,8.730038023,8.730038023,8.730038023
Combined Cycle,Heat Rate (Btu/kWh),6411.727926,6402.027883,6392.327841,6382.627799,6372.927757,6372.927757,6372.927757,6372.927757,6372.927757,6372.927757,6372.927757,6372.927757,6372.927757,6372.927757,6372.927757,6372.927757,6372.927757,6372.927757,6372.927757,6372.927757,6372.927757,6372.927757,6372.927757,6372.927757,6372.927757,6372.927757,6372.927757,6372.927757,6372.927757,6372.927757,6372.927757
Combined Cycle,CAPEX(2012$/MW),999104.3515,996194.3388,993284.3262,990374.3135,987464.3008,984554.2881,975824.2501,969034.2205,963214.1952,958364.1741,953514.1529,949634.136,945754.1191,942844.1065,939934.0938,936054.0769,933144.0642,930234.0515,926354.0346,923444.022,919564.0051,916653.9924,912773.9755,909863.9628,905983.9459,903073.9332,899193.9163,896283.9037,892403.8868,889493.8741,885613.8572
Combined Cycle,FOM(2012$/MW/yr),13580.05915,13580.05915,13580.05915,13580.05915,13580.05915,13580.05915,13580.05915,13580.05915,13580.05915,13580.05915,13580.05915,13580.05915,13580.05915,13580.05915,13580.05915,13580.05915,13580.05915,13580.05915,13580.05915,13580.05915,13580.05915,13580.05915,13580.05915,13580.05915,13580.05915,13580.05915,13580.05915,13580.05915,13580.05915,13580.05915,13580.05915
Combined Cycle,VOM(2012$/MWh),2.910012674,2.910012674,2.910012674,2.910012674,2.910012674,2.910012674,2.910012674,2.910012674,2.910012674,2.910012674,2.910012674,2.910012674,2.910012674,2.910012674,2.910012674,2.910012674,2.910012674,2.910012674,2.910012674,2.910012674,2.910012674,2.910012674,2.910012674,2.910012674,2.910012674,2.910012674,2.910012674,2.910012674,2.910012674,2.910012674,2.910012674
Combined Cycle CCS,Heat Rate (Btu/kWh),7275.031686,7275.031686,7275.031686,7275.031686,7265.331643,7265.331643,7265.331643,7265.331643,7265.331643,7265.331643,7265.331643,7265.331643,7265.331643,7265.331643,7265.331643,7265.331643,7265.331643,7265.331643,7265.331643,7265.331643,7265.331643,7265.331643,7265.331643,7265.331643,7265.331643,7265.331643,7265.331643,7265.331643,7265.331643,7265.331643,7265.331643
Combined Cycle CCS,CAPEX(2012$/MW),2042828.897,2030218.842,2017608.787,2004998.733,1991418.673,1978808.619,1950678.496,1928368.399,1906058.302,1889568.23,1872108.154,1855618.082,1842038.023,1829427.968,1815847.909,1802267.85,1787717.786,1775107.731,1760557.668,1746977.609,1733397.55,1718847.486,1705267.427,1691687.368,1677137.305,1663557.245,1649977.186,1635427.123,1621847.064,1608267.005,1593716.941
Combined Cycle CCS,FOM(2012$/MW/yr),31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519,31040.13519
Combined Cycle CCS,VOM(2012$/MWh),6.790029573,6.790029573,6.790029573,6.790029573,6.790029573,6.790029573,6.790029573,6.790029573,6.790029573,6.790029573,6.790029573,6.790029573,6.790029573,6.790029573,6.790029573,6.790029573,6.790029573,6.790029573,6.790029573,6.790029573,6.790029573,6.790029573,6.790029573,6.790029573,6.790029573,6.790029573,6.790029573,6.790029573,6.790029573,6.790029573,6.790029573
Combustion Turbine,Heat Rate (Btu/kWh),9409.04098,9360.540769,9312.040558,9263.540346,9215.040135,9215.040135,9215.040135,9215.040135,9215.040135,9215.040135,9215.040135,9215.040135,9215.040135,9215.040135,9215.040135,9215.040135,9215.040135,9215.040135,9215.040135,9215.040135,9215.040135,9215.040135,9215.040135,9215.040135,9215.040135,9215.040135,9215.040135,9215.040135,9215.040135,9215.040135,9215.040135
Combustion Turbine,CAPEX(2012$/MW),853603.7178,850693.7051,848753.6967,845843.684,842933.6713,840023.6586,832263.6248,825473.5953,819653.5699,815773.553,810923.5319,807043.515,804133.5023,801223.4896,798313.477,795403.4643,792493.4516,789583.439,786673.4263,783763.4136,780853.4009,776973.384,774063.3714,771153.3587,768243.346,765333.3333,762423.3207,759513.308,755633.2911,752723.2784,749813.2657
Combustion Turbine,FOM(2012$/MW/yr),6790.029573,6790.029573,6790.029573,6790.029573,6790.029573,6790.029573,6790.029573,6790.029573,6790.029573,6790.029573,6790.029573,6790.029573,6790.029573,6790.029573,6790.029573,6790.029573,6790.029573,6790.029573,6790.029573,6790.029573,6790.029573,6790.029573,6790.029573,6790.029573,6790.029573,6790.029573,6790.029573,6790.029573,6790.029573,6790.029573,6790.029573
Combustion Turbine,VOM(2012$/MWh),12.61005492,12.61005492,12.61005492,12.61005492,12.61005492,12.61005492,12.61005492,12.61005492,12.61005492,12.61005492,12.61005492,12.61005492,12.61005492,12.61005492,12.61005492,12.61005492,12.61005492,12.61005492,12.61005492,12.61005492,12.61005492,12.61005492,12.61005492,12.61005492,12.61005492,12.61005492,12.61005492,12.61005492,12.61005492,12.61005492,12.61005492
Nuclear,Heat Rate (Btu/kWh),10165.64428,10165.64428,10165.64428,10165.64428,10165.64428,10165.64428,10165.64428,10165.64428,10165.64428,10165.64428,10165.64428,10165.64428,10165.64428,10165.64428,10165.64428,10165.64428,10165.64428,10165.64428,10165.64428,10165.64428,10165.64428,10165.64428,10165.64428,10165.64428,10165.64428,10165.64428,10165.64428,10165.64428,10165.64428,10165.64428,10165.64428
Nuclear,CAPEX(2012$/MW),6177956.907,6177956.907,6177956.907,6144976.764,6111996.62,6079016.477,6046036.333,6014026.193,5981046.05,5948065.906,5915085.763,5882105.619,5849125.475,5817115.336,5784135.192,5751155.049,5718174.905,5685194.761,5653184.622,5620204.478,5587224.335,5554244.191,5521264.047,5488283.904,5456273.764,5423293.621,5390313.477,5357333.333,5324353.19,5292343.05,5259362.907
Nuclear,FOM(2012$/MW/yr),92150.40135,92150.40135,92150.40135,92150.40135,92150.40135,92150.40135,92150.40135,92150.40135,92150.40135,92150.40135,92150.40135,92150.40135,92150.40135,92150.40135,92150.40135,92150.40135,92150.40135,92150.40135,92150.40135,92150.40135,92150.40135,92150.40135,92150.40135,92150.40135,92150.40135,92150.40135,92150.40135,92150.40135,92150.40135,92150.40135,92150.40135
Nuclear,VOM(2012$/MWh),1.94000845,1.94000845,1.94000845,1.94000845,1.94000845,1.94000845,1.94000845,1.94000845,1.94000845,1.94000845,1.94000845,1.94000845,1.94000845,1.94000845,1.94000845,1.94000845,1.94000845,1.94000845,1.94000845,1.94000845,1.94000845,1.94000845,1.94000845,1.94000845,1.94000845,1.94000845,1.94000845,1.94000845,1.94000845,1.94000845,1.94000845
Battery Storage,CAPEX(2012$/MW),1284064.924,1220763.669,1157462.415,1094161.16,1030859.906,967558.651,936115.0087,904671.3664,873227.7241,841784.0817,810340.4394,800211.1839,790081.9284,779952.6729,769823.4174,759694.162,749564.9065,739435.651,729306.3955,719177.14,709047.8845,698918.629,688789.3735,678660.118,668530.8625,658401.607,648272.3515,638143.096,628013.8405,617884.5851,607755.3296
Battery Storage,FOM(2012$/MW/yr),32.10162309,30.51909173,28.93656036,27.354029,25.77149764,24.18896628,23.40287522,22.61678416,21.8306931,21.04460204,20.25851099,20.0052796,19.75204821,19.49881682,19.24558544,18.99235405,18.73912266,18.48589127,18.23265989,17.9794285,17.72619711,17.47296572,17.21973434,16.96650295,16.71327156,16.46004018,16.20680879,15.9535774,15.70034601,15.44711463,15.19388324
Battery Storage,VOM(2012$/MWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battery Storage,Efficiency,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
