,r,rr,AC,DC,Source,Project(s),Vintage,rnum,rrnum,GAMS Symbol
288,p60,p61,164.0,,,,,60,61,p60p61
289,p60,p62,74.0,,,,,60,62,p60p62
290,p60,p63,327.0,,,,,60,63,p60p63
291,p61,p60,164.0,,,,,61,60,p61p60
292,p61,p62,97.0,,,,,61,62,p61p62
293,p61,p63,475.0,,,,,61,63,p61p63
294,p61,p64,412.0,,,,,61,64,p61p64
295,p61,p65,348.0,,,,,61,65,p61p65
296,p62,p60,74.0,,,,,62,60,p62p60
297,p62,p61,97.0,,,,,62,61,p62p61
300,p63,p60,327.0,,,,,63,60,p63p60
301,p63,p61,475.0,,,,,63,61,p63p61
302,p63,p64,222.0,,,,,63,64,p63p64
303,p63,p67,267.0,,,,,63,67,p63p67
305,p64,p61,412.0,,,,,64,61,p64p61
306,p64,p63,222.0,,,,,64,63,p64p63
307,p64,p65,91.0,,,,,64,65,p64p65
308,p64,p67,244.0,,,,,64,67,p64p67
309,p65,p61,348.0,,,,,65,61,p65p61
310,p65,p64,91.0,,,,,65,64,p65p64
311,p65,p67,250.0,,,,,65,67,p65p67
315,p67,p63,267.0,,,,,67,63,p67p63
316,p67,p64,244.0,,,,,67,64,p67p64
317,p67,p65,250.0,,,,,67,65,p67p65
